id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments,class
2TYfPBSXeAJQgP1CpkXDUP,Breaking Down,0.58,0.72,1,-5.169,1,0.155,0.00368,0.114,0.639,109.972,229067,4,102,13,739,1
4FDdBqOTzfWfuDfODCOply,Breathe Again,0.625,0.93,8,-4.593,1,0.0498,0.00336,0.677,0.658,150.05,192000,4,119,8,760,1
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,0.316,0.945,4,-3.169,0,0.00895,1.85e-06,0.396,0.32,189.931,235893,4,187,12,771,1
4z9gBZQjGS4QLb4LOvmeuA,Burning Up (Fire),0.627,0.706,10,-3.201,0,0.00227,0.0,0.122,0.536,99.93,203352,4,84,12,789,1
3kOtrXdDW7zkcLP5IrMmDc,By The Shore,0.834,0.256,0,-9.433,0,0.642,0.0156,0.104,0.496,88.944,194164,4,71,9,687,1
2ftBcyzDa2REbBy7pMfbTT,Bye Babe,0.915,0.464,1,-5.289,1,0.128,0.0,0.0785,0.912,106.034,198256,4,86,11,753,1
2yiZyjMEByt9sJBZWnWaDR,Bye Bye Bye,0.571,0.87,8,-3.877,0,0.0198,6.6e-06,0.0564,0.813,172.716,199640,4,143,9,816,1
4jdiqVbH1eUwc4MzDV7GMu,CALL ME BABY,0.692,0.886,1,-2.519,1,0.284,0.0,0.341,0.879,100.03,211013,4,86,8,871,1
65Wn0KpbPXTVLNQNEMtK1j,Call On Me - Radio Edit,0.597,0.837,10,-6.518,1,0.00427,0.00114,0.839,0.447,126.342,171360,4,88,10,644,1
6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,0.662,0.705,1,-6.56,0,0.0392,2.38e-06,0.105,0.865,159.996,250080,4,165,10,894,1
10FP9hm2aFfAIKEopqaG9D,Can't Fight The Moonlight,0.628,0.834,6,-6.341,0,0.403,0.0,0.051,0.626,97.865,215507,4,86,9,736,1
42CeaId2XNlxugDvyqHfDf,Candy Paint,0.765,0.688,4,-5.566,1,0.633,0.0,0.0734,0.434,90.013,229573,4,84,10,875,1
1R6amI33Kxxbxnas1ictrD,Capitano (Instrumental Version),0.4,0.259,5,-17.229,0,0.92,0.774,0.108,0.508,245.327,177946,4,178,8,768,1
3yM1SaSngFZCla4gOOUn2a,Car Radio,0.479,0.452,4,-14.67,0,0.65,0.378,0.379,0.152,52.294,162016,3,45,8,607,1
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,0.461,0.834,2,-4.868,1,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,146,12,914,1
7Bka7BItYbiCQOSbJNx0ni,Cataclysm,0.509,0.867,6,-5.859,1,0.0113,0.383,0.105,0.0675,140.028,300000,4,171,13,1190,1
10VuRG4YCjIDFxTliN02MP,Catch Me If You Can - Korean Version,0.714,0.852,9,-2.76,0,0.0154,0.0,0.135,0.565,133.989,225173,4,126,14,887,1
69gdXYtXQEX9xNeEto8K0q,Cause,0.679,0.45,0,-10.428,1,0.748,0.0589,0.101,0.364,80.075,110071,4,37,6,409,1
1uDhHTNIBF5BJQWTjKnCoa,Celebration Song,0.393,0.959,1,-4.343,1,4e-05,0.000569,0.1,0.61,185.226,219382,4,159,11,712,1
2CvcVMkyBhXHD9d0QIpw4X,Chaos,0.809,0.581,10,-8.294,0,0.0115,0.000513,0.345,0.369,149.949,132038,4,80,5,591,1
7zC7nXQPpj7oVeboU5lYOP,Chariots,0.257,0.973,0,-4.887,1,0.000125,0.00667,0.122,0.458,129.051,276587,4,162,10,980,1
0rpIH5otu7ykvZPdcQuRPh,Chasing Cars,0.556,0.595,9,-4.51,1,0.214,8.33e-05,0.125,0.144,104.001,266347,4,114,15,816,1
1D7e4LrjdB4mKaI9XYrmPY,CHEER UP,0.548,0.885,6,-1.48,1,0.139,0.0,0.0716,0.509,172.946,208862,4,149,11,785,1
28PYwyQETvCDNXMRBFAtzr,Choke,0.652,0.403,9,-14.328,0,0.871,0.808,0.0742,0.089,140.012,180000,4,101,7,444,1
5DPOA0BfvqhGuiuosDgzMN,Christmas Chill,0.638,0.0703,0,-12.257,1,0.318,0.937,0.107,0.648,77.366,125067,4,41,6,419,1
0mBKv9DkYfQHjdMcw2jdyI,Chunky,0.571,0.539,5,-4.446,0,0.0208,0.0,0.125,0.727,202.103,186973,4,157,7,715,1
14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",0.776,0.392,5,-10.493,0,0.271,2.21e-06,0.14,0.438,87.98,241765,4,86,14,896,1
4ao9bdN6ozxdlQ9j2rGDFy,City Of Blinding Lights,0.447,0.768,8,-3.991,1,0.000264,0.0698,0.111,0.246,139.23,347867,4,200,18,1164,1
0KcV1EQdppMZe78MGT6wBn,clay castle ruins,0.775,0.337,4,-12.263,1,0.868,0.898,0.142,0.885,138.016,139139,4,79,7,595,1
0BCPKOYdS2jbQ8iyB56Zns,Clocks,0.577,0.749,5,-7.215,0,0.599,0.0112,0.183,0.261,130.969,307880,4,166,13,1033,1
6gHQIxtN5UwHJlEaUjcViK,Close Enough,0.696,0.61,0,-7.462,1,0.0279,0.000595,0.257,0.403,99.98,167759,4,68,7,698,1
7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4,94,11,810,1
31qa3MvGhA4FbbeUOhBe4J,cocoa,0.572,0.341,11,-11.924,1,0.934,0.689,0.109,0.7,89.098,86400,4,28,5,271,1
0nKpHGrnuejevp6openGaF,Cold,0.648,0.734,0,-6.289,1,0.368,0.0,0.0938,0.196,167.044,228433,4,159,9,942,1
7qKPyKGfnYRdcpnc1Wz97A,Cold Feet,0.582,0.719,5,-8.884,1,0.0621,0.00294,0.124,0.121,125.988,238117,4,125,9,982,1
2Nbk6e3lExNzZj9AuCwV8C,Cold Skin,0.393,0.695,7,-6.887,0,0.00446,0.00219,0.0986,0.061,143.913,211667,4,123,11,736,1
